Front,Back
"What does RAID stand for?","Redundant Array of Independent Disks — combines multiple physical disks into one logical drive"
"What is the keyword for RAID 0?","STRIPING — data is split across all drives (odd/even pattern)"
"What is the minimum number of drives for RAID 0?","2 drives"
"What is the fault tolerance of RAID 0?","ZERO ❌ — if 1 drive fails, ALL data is lost"
"What is the usable space in RAID 0?","100% — no space lost to redundancy"
"What is RAID 0 best used for?","Speed-only tasks: video editing, gaming, temp/cache storage"
"What is the memory hook for RAID 0?","0 = Zero safety 💀 | Peppermint stripe — fast but fragile"
"What is RAID 0's star rating for reliability?","⭐☆☆☆☆ — Zero redundancy, one disk fails = total loss"
"What is RAID 0's star rating for capacity?","⭐⭐⭐⭐⭐ — 100% usable space"
"What is RAID 0's star rating for performance?","⭐⭐⭐⭐⭐ — Fastest read/write speed"
"What is the keyword for RAID 1?","MIRRORING — exact copy written to every drive simultaneously"
"What is the minimum number of drives for RAID 1?","2 drives"
"What is the fault tolerance of RAID 1?","✅ 1 entire drive can fail — data survives on the mirror"
"What is the usable space in RAID 1?","50% — half is used for the mirror copy"
"What is RAID 1 best used for?","OS drives, critical data, small business — best basic redundancy"
"What is the memory hook for RAID 1?","Mirror on the wall 🪞 — same exact reflection | 1 = 1 mirror"
"What is RAID 1's star rating for reliability?","⭐⭐⭐⭐⭐ — Full mirror, excellent redundancy"
"What is RAID 1's star rating for capacity?","⭐⭐☆☆☆ — Only 50% usable"
"What is RAID 1's star rating for performance?","⭐⭐⭐☆☆ — Good read, slower write"
"What are the benefits of RAID 1?","Simple redundancy | Fast read performance | Quick rebuild time | Only needs 2 drives"
"What are the limitations of RAID 1?","50% capacity lost | Expensive per GB | Slower writes"
"What is the keyword for RAID 5?","STRIPING WITH PARITY — parity rotates across all drives"
"What is the minimum number of drives for RAID 5?","3 drives (can use more)"
"What is the fault tolerance of RAID 5?","✅ 1 drive can fail — parity data rebuilds the missing disk"
"What is the usable space in RAID 5?","Total minus 1 drive worth of parity (e.g., 3×80GB = 160GB usable)"
"What is RAID 5 best used for?","File servers, NAS, small businesses — most common RAID in production"
"What is parity in RAID 5?","Math-based recovery data. Like 2+3=5 — remove any one number and the other two reveal it"
